都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
奈良県,,135,48,53,33,59,21,,湧泉,温泉・鉱泉,,,9,52,,,8.5,,,,,,,,,,,,66,1,,,,0.4,2,,,,,,,,,,,,,17.6,,,,,,,,,23.5,,,,,104.9,28.8,,,,,,,,,,,,8.2,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
奈良県,,135,48,53,33,59,21,,湧泉,温泉・鉱泉,,,9,45,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4,24,,,,,,,,,,,,8.7,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
奈良県,３８℃泉,136,2,38,34,15,39,,不明,温泉・鉱泉,,,,,,,6.5,,,,,,,,,,,,,,,,,41.5,692.7,,,,,0,,,,,,,,652.5,1.6,,,,,,,,0,,,,,1976.4,,,,,,,,,,,,,,123.2,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
奈良県,３１℃泉,136,2,38,34,15,39,,不明,温泉・鉱泉,,,,,,,6.5,,,,,,,,,,,,,,,,,35,639.4,,,,,0,,,,,,,,620.8,1.5,,,,,,,,0,,,,,1805.6,,,,,,,,,,,,,,110,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
奈良県,冷泉,136,2,38,34,15,39,,不明,温泉・鉱泉,,,,,,,6.1,,,,,,,,,,,,237.6,28.3,,,,17.9,401.5,,,,,0,,,,,,,,599.6,,,,,,,,,0,,,,,1012.6,,,,,,,,,,,,,,136.4,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
奈良県,,136,2,38,34,15,39,,不明,温泉・鉱泉,,,,38,,,6.5,,,,,,,,,,,,,,,,,41.5,692.7,,,,,0,,,,,,,,652.5,1.6,0,,,,,,,0,,,,,1976,,,,,,,,,,,,,,,,,,,,,,"本邦高鹹水の温泉地質学的意義,地調月報,1958"
奈良県,奈良市,135,47,10,34,41,40,,井戸,用水,63,,,16.2,600,無色透明,6.2,7.5,,,,,,7100,,1.38,,,9.6,2,,,0.1,2.9,8.6,,,,0.21,4.07,,4.07,,,,,,5.6,,,,0,0,,,,6.8,,,,,51.87,,,,,,,,,47.6,,,2.17,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,奈良市,135,47,50,34,40,50,,井戸,用水,128,,,17.5,1200,無色透明,6.6,7.8,,,,,,5500,,1.01,,,11.5,2.1,,,0.16,7.2,13.6,,,,0.35,3.42,,3.42,,,,,,2.5,,,,0,0,,,,7.6,,,,,89.7,,,,,,,,,52,,,0.37,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,奈良市,135,49,20,34,40,50,,井戸,用水,95,,,17.1,576,無色透明,6,7.5,,,,,,2400,,2,,,28.7,5.2,,,1.82,7.3,28.2,,,,0.33,6.29,,6.29,,,,,,61,,,,0,0,,,,33.9,,,,,53.7,,,,,,,,,43.5,,,0.44,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,奈良市,135,49,10,34,40,30,,井戸,用水,151,,,19.1,1728,無色透明,6.4,7.5,,,,,,2600,,1.21,,,23,3.9,,,0.2,10,29.5,,,,0.67,3.25,,3.25,,,,,,55.5,,,,0,0,,,,13.1,,,,,88.48,,,,,,,,,51,,,,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,奈良市,135,49,30,34,40,30,,井戸,用水,97,,,16.8,,無色透明,6.3,7.2,,,,,,,,7.7,,,34.2,6.7,,,0.55,13.7,35.9,,,,1.67,6.16,,6.16,,,,,,119.1,,,,0,0,,,,21.7,,,,,43.32,,,,,,,,,42.7,,,0,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,奈良市,135,50,10,34,40,0,,井戸,用水,121,,,17.3,1008,無色透明,6.5,7.2,,,,,,3400,,2.01,,,18.2,3.1,,,1.1,6.1,20.7,,,,1.28,5.9,,5.9,,,,,,20,,,,0,0,,,,33.8,,,,,68.34,,,,,,,,,46.8,,,0,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,大和郡山市,135,47,10,34,39,20,,井戸,用水,207,,,21,,無色透明,7.1,8,,,,,,6000,,0.85,,,14.9,2.8,,,0.5,4.1,11.1,,,,0.36,0.62,,0.99,,,,,,2.1,,,,0,0,,,,1.6,,,,,90.92,,,,,,,,,49.5,,,3.61,,,,,,0.48,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,大和郡山市,135,47,20,34,39,10,,井戸,用水,100,,,18.4,,無色透明,6.7,7.4,,,,,,4700,,1.21,,,12.2,3.3,,,0.89,6.7,17.3,,,,0.32,3.65,,3.82,,,,,,3.1,,,,0,0,,,,13,,,,,98.85,,,,,,,,,58,,,0.21,,,,,,0,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
