都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
長崎県,南高来郡瑞穂町,,,,,,,,井戸,用水,9,,,18.5,,,8.1,7.9,,,,281,,2600,70,,,,26.9,2.62,,,,18.02,25.45,,,,,0,0.01,,,,,,,91.22,,,,,,,,,16.6,,,,,63.95,,,,,,,,,,,,,,0,,,,,,,1969-11-14 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡瑞穂町,,,,,,,,井戸,用水,56,,,20.3,,,8,7.9,,,,152,,6500,,,,,11.6,3.32,,,,3.8,18.61,,,,,0.02,0.05,,,,,,,8.84,,,,,,,,,4,,,,,97.05,,,,,,,,,,,,,,0,,,,,,,1969-11-14 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡瑞穂町,,,,,,,,井戸,用水,4,,,20.1,,,6.4,7.8,,,,244,,3300,65,,,,16.6,5.01,,,,12.19,24.88,,,,,0.17,0.22,,,,,,,31.85,,,,,,,,,53,,,,,63.06,,,,,,,,,,,,,,29.9,,,,,,,1969-11-14 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡瑞穂町,,,,,,,,井戸,用水,69,,,20.6,,硫化水素臭,8,8,,,,149.6,,6700,-150,,,,14,2.68,,,,4.09,15.14,,,,,0.02,0.03,,,,,,,5.91,,,,,,,,,,,,,,97.05,,,,,,,,,,,,,,0,,,,,,,1969-11-14 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡瑞穂町,,,,,,,,井戸,用水,1.5,,,18.1,,,6.1,7.5,,,,219,,4000,80,,,,12.4,2.3,,,,11.22,23.96,,,,,1.91,8.26,,,,,,,17.38,,,,,,,,,70,,,,,57.4,,,,,,,,,,,,,,65.85,,,,,,,1969-11-14 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡瑞穂町,,,,,,,,井戸,用水,25,,,19.7,,硫化水素臭,7.3,7.8,,,,154,,6600,90,,,,21.9,2.3,,,,4.74,7.66,,,,,0,0.01,,,,,,,13.61,,,,,,,,,,,,,,86,,,,,,,,,,,,,,3.8,,,,,,,1969-11-14 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,104,,,21.8,,,7.6,7.6,,,,200,,4600,20,,,,18.8,3.59,,,,12.29,20.99,,,,,0.23,0.25,,,,,,,5.71,,,,,,,,,3.6,,,,,138.75,,,,,,,,,,,,,,2.53,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,19.1,,,7.3,7.5,,,,182,,5700,78,,,,22.4,4,,,,8.45,11.12,,,,,0.03,0.07,,,,,,,12.01,,,,,,,,,,,,,,115,,,,,,,,,,,,,,3.8,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,6,,,20.1,,,7.3,7.8,,,,320,,2300,62,,,,39.3,9.29,,,,14.55,38.1,,,,,0.05,0.1,,,,,,,40.85,,,,,,,,,44.5,,,,,152.95,,,,,,,,,,,,,,10.4,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,18.7,,,7,7.5,,,,222,,4100,165,,,,29.2,4.06,,,,10.9,9.66,,,,,0.01,0.02,,,,,,,21.35,,,,,,,,,18.8,,,,,97.75,,,,,,,,,,,,,,10.4,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,51,,,20.9,,硫化水素臭,8.1,7.6,,,,167,,6500,-50,,,,16,3.22,,,,4.48,15.14,,,,,0.01,0.06,,,,,,,6.17,,,,,,,,,,,,,,107.5,,,,,,,,,,,,,,0,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,4.5,,,18.2,,,6.7,7.6,,,,136,,6400,45,,,,18.9,2.36,,,,6.38,8.45,,,,,0.13,0.15,,,,,,,20.81,,,,,,,,,18.3,,,,,48.95,,,,,,,,,,,,,,12.65,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,56,,,21.2,,硫化水素臭,8,7.6,,,,168,,6500,-30,,,,11.8,3.18,,,,3.69,17.91,,,,,0.03,0.04,,,,,,,5.55,,,,,,,,,,,,,,101.5,,,,,,,,,,,,,,0,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,44,,,19.5,,硫化水素臭,7.7,7.6,,,,154,,7100,-20,,,,17.8,1.96,,,,3.16,12.28,,,,,0.07,0.1,,,,,,,4.83,,,,,,,,,,,,,,91.05,,,,,,,,,,,,,,12.65,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,5,,,17.2,,,6.8,7.8,,,,242,,3800,200,,,,23.9,12.25,,,,8.5,24.71,,,,,0.01,0.05,,,,,,,30.05,,,,,,,,,27.2,,,,,85.05,,,,,,,,,,,,,,17.2,,,,,,,1969-11-21 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,8,,,19.8,,,6.6,7.5,,,,265,,2900,180,,,,17,4.19,,,,10,36.86,,,,,0.01,0.03,,,,,,,33.6,,,,,,,,,38.2,,,,,66.13,,,,,,,,,,,,,,21.3,,,,,,,1969-11-22 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,42,,,19.2,,,7,7.6,,,,223,,4000,190,,,,41,6.13,,,,8.91,2.78,,,,,0.01,0.02,,,,,,,17.92,,,,,,,,,23,,,,,110.75,,,,,,,,,,,,,,12.9,,,,,,,1968-11-22 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,18.8,,,7.3,7.9,,,,227,,4400,180,,,,45.2,5.59,,,,4.16,2.4,,,,,0.02,0.06,,,,,,,14.14,,,,,,,,,21.3,,,,,114.05,,,,,,,,,,,,,,7.35,,,,,,,1969-11-22 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,27,,,18.4,,,7.5,7.9,,,,254.6,,3600,160,,,,70,3.5,,,,7.91,0.43,,,,,0.03,0.06,,,,,,,20.31,,,,,,,,,23.4,,,,,135.1,,,,,,,,,,,,,,1.52,,,,,,,1969-11-22 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,7.2,,,20.7,,,6.5,7.6,,,,203,,4000,160,,,,10.4,1.98,,,,5.32,33.95,,,,,,0.03,,,,,,,28,,,,,,,,,21.4,,,,,71.55,,,,,,,,,,,,,,24.4,,,,,,,1969-11-27 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,23,,,19.8,,,6.7,7.9,,,,180,,5000,150,,,,11.2,4.52,,,,9.24,16.98,,,,,0.02,0.04,,,,,,,9.25,,,,,,,,,16.7,,,,,96.2,,,,,,,,,,,,,,24.3,,,,,,,1969-11-27 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,60,,,21.8,,,6.9,7.9,,,,181,,5000,155,,,,13.6,5.01,,,,11.4,13.91,,,,,0.02,0.04,,,,,,,9,,,,,,,,,8.2,,,,,118.25,,,,,,,,,,,,,,16.2,,,,,,,1968-11-27 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,7,,,18.1,,,6.7,7.8,,,,237.4,,3250,140,,,,20.3,9.38,,,,7.65,27.64,,,,,0.03,0.06,,,,,,,35.3,,,,,,,,,23.9,,,,,61.5,,,,,,,,,,,,,,15.7,,,,,,,1969-11-27 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,18.8,,,7.1,7.8,,,,175.6,,6000,180,,,,12.2,6.7,,,,8.07,14.29,,,,,,0.02,,,,,,,13.1,,,,,,,,,8.9,,,,,83,,,,,,,,,,,,,,9.61,,,,,,,1969-11-27 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,3.5,,,20,,,6.6,7.6,,,,187.6,,4400,130,,,,10.8,3.52,,,,8.23,23.32,,,,,0.02,0.03,,,,,,,20.5,,,,,,,,,22.8,,,,,70.45,,,,,,,,,,,,,,26,,,,,,,1969-11-27 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,43,,,21.3,,,6.9,7.8,,,,189,,5100,165,,,,18.1,4.12,,,,5.91,16.45,,,,,,0.03,,,,,,,13.89,,,,,,,,,12,,,,,90.25,,,,,,,,,,,,,,13.68,,,,,,,1969-11-28 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,45,,,21.1,,硫化水素臭,7.6,7.8,,,,133,,8000,45,,,,12.7,3.32,,,,3.9,11.58,,,,,0.07,0.08,,,,,,,5.19,,,,,,,,,3.6,,,,,80.5,,,,,,,,,,,,,,,,,,,,,1969-11-28 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,27,,,19.5,,,7.3,7.9,,,,160,,6500,140,,,,11.8,4.26,,,,7.28,11.73,,,,,0,0.03,,,,,,,15.31,,,,,,,,,3.8,,,,,77.55,,,,,,,,,,,,,,5.56,,,,,,,1969-11-28 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,20.4,,,7.2,7.9,,,,155,,8000,190,,,,11.6,4.1,,,,5.49,9.57,,,,,0.02,0.1,,,,,,,7.86,,,,,,,,,3.8,,,,,81.75,,,,,,,,,,,,,,3.91,,,,,,,1969-11-28 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,21.1,,硫化水素臭,7.4,7.6,,,,142,,8500,50,,,,11.6,3.55,,,,4.32,10.52,,,,,0.13,0.15,,,,,,,5.81,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,1969-11-28 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,20.7,,,7.4,7.9,,,,401,,1700,130,,,,66.1,6.19,,,,14.7,23.59,,,,,,0.02,,,,,,,133.51,,,,,,,,,19.9,,,,,89.4,,,,,,,,,,,,,,6.07,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,20.8,,,7.6,7.9,,,,158,,7300,80,,,,11.6,3.14,,,,4.22,14.36,,,,,0.02,0.03,,,,,,,3.34,,,,,,,,,3.6,,,,,83.4,,,,,,,,,,,,,,,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,58,,,20.8,,,7.6,7.9,,,,148,,7000,110,,,,10.8,3.45,,,,3.69,14.8,,,,,0.06,0.1,,,,,,,7.86,,,,,,,,,3.8,,,,,83.25,,,,,,,,,,,,,,2.76,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,20.9,,,7.6,7.9,,,,148,,7000,90,,,,11.1,3.24,,,,4.11,14.52,,,,,,0.02,,,,,,,5.6,,,,,,,,,3.6,,,,,80.1,,,,,,,,,,,,,,3.45,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,19.5,,,7.4,7.9,,,,158,,7000,140,,,,10.9,2.88,,,,5.43,13.67,,,,,0,0.02,,,,,,,11,,,,,,,,,3.9,,,,,79.5,,,,,,,,,,,,,,3.91,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,19.9,,,7.3,7.8,,,,297.8,,2800,150,,,,18.3,5.76,,,,13.8,25.97,,,,,0.01,0.03,,,,,,,69.05,,,,,,,,,7.8,,,,,70.6,,,,,,,,,,,,,,5.06,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,31,,,20.2,,,7.4,7.9,,,,158.8,,7200,160,,,,10.4,3.88,,,,5,13.12,,,,,0.01,0.02,,,,,,,8.9,,,,,,,,,3.6,,,,,83.35,,,,,,,,,,,,,,2.53,,,,,,,1969-11-29 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,3.6,,,18.3,,,6.5,7.7,,,,189.4,,5000,220,,,,13.9,3.19,,,,7.2,23.63,,,,,0,0.03,,,,,,,25.81,,,,,,,,,31,,,,,64.05,,,,,,,,,,,,,,27.07,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,23,,,18.6,,,6.6,7.9,,,,204.2,,5500,210,,,,13.1,6.25,,,,8.43,16.4,,,,,0,0.03,,,,,,,13,,,,,,,,,26.7,,,,,75.7,,,,,,,,,,,,,,26.55,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,20,,,7.2,8.1,,,,218.8,,5400,195,,,,10.8,5.29,,,,10.71,15.14,,,,,0,0.02,,,,,,,5.76,,,,,,,,,3.4,,,,,121.9,,,,,,,,,,,,,,10.85,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,35,,,19.6,,,7.2,7.9,,,,157.2,,6500,192,,,,10.9,3.86,,,,8.49,11.79,,,,,0,0.02,,,,,,,6.69,,,,,,,,,5.7,,,,,96.2,,,,,,,,,,,,,,11.62,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,60,,,20,,,7.2,8,,,,165.4,,6500,190,,,,12.9,4.52,,,,8.84,11.51,,,,,0,0.01,,,,,,,6.17,,,,,,,,,4.1,,,,,99.45,,,,,,,,,,,,,,7.85,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,65,,,20.4,,,7.2,7.9,,,,179.2,,7000,160,,,,10.8,4.45,,,,7.81,10.19,,,,,0,0.01,,,,,,,8.69,,,,,,,,,3.8,,,,,93.05,,,,,,,,,,,,,,8.1,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,25,,,18.9,,,6.8,7.8,,,,227.6,,4100,170,,,,14.8,7.23,,,,6.9,23.75,,,,,0.01,0.04,,,,,,,22.3,,,,,,,,,31,,,,,77.55,,,,,,,,,,,,,,18.49,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,50,,,19.8,,,7.2,7.8,,,,172,,7000,160,,,,12.3,4.4,,,,7.5,10.51,,,,,0,0.03,,,,,,,9.05,,,,,,,,,3.4,,,,,86.45,,,,,,,,,,,,,,9.35,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,6,,,21.1,,,6.6,7.8,,,,222.2,,3800,178,,,,18.2,12.9,,,,5.51,21.2,,,,,0,0.02,,,,,,,22.41,,,,,,,,,32.4,,,,,70.4,,,,,,,,,,,,,,21.5,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,19.2,,,6.9,7.8,,,,183.2,,6000,170,,,,12.5,5.2,,,,7.41,15.3,,,,,,0.02,,,,,,,16.34,,,,,,,,,14,,,,,77.4,,,,,,,,,,,,,,14.17,,,,,,,1969-12-11 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,30,,,18.9,,,7.3,7.8,,,,118.4,,8500,228,,,,11.1,3.52,,,,6.39,10.94,,,,,0,0.02,,,,,,,11.15,,,,,,,,,3.6,,,,,75.75,,,,,,,,,,,,,,5.91,,,,,,,1969-12-13 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,49,,,19.8,,,7.2,7.8,,,,141.6,,8400,218,,,,10.9,3.8,,,,4.65,10.35,,,,,0,0.01,,,,,,,8.49,,,,,,,,,4.8,,,,,82.65,,,,,,,,,,,,,,6.15,,,,,,,1969-12-13 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,12,,,18.5,,,6.7,8,,,,450.2,,1950,230,,,,35.6,8.64,,,,27,40.4,,,,,0,0.01,,,,,,,80.9,,,,,,,,,72.5,,,,,149,,,,,,,,,,,,,,8.85,,,,,,,1969-12-13 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,25,,,18.7,,,6.8,7.8,,,,191.8,,7000,230,,,,13.4,5.65,,,,8.01,13.62,,,,,0,0.01,,,,,,,14.38,,,,,,,,,14.4,,,,,68.1,,,,,,,,,,,,,,16.98,,,,,,,1969-12-13 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,20.4,,,7.4,7.8,,,,147.8,,9000,210,,,,12.4,4.32,,,,5.21,8.33,,,,,0,0.02,,,,,,,6.27,,,,,,,,,3.4,,,,,70.1,,,,,,,,,,,,,,8.35,,,,,,,1969-12-13 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,36,,,19.8,,,7.5,7.5,,,,138.4,,9200,180,,,,11.8,3.4,,,,3.78,12.7,,,,,0.02,0.04,,,,,,,7,,,,,,,,,3.4,,,,,83,,,,,,,,,,,,,,4.05,,,,,,,1969-12-13 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,70,,,19.4,,,7,7.8,,,,275.2,,3300,180,,,,33.8,5.76,,,,10.71,24.6,,,,,0.04,0.11,,,,,,,62.6,,,,,,,,,22.4,,,,,101.25,,,,,,,,,,,,,,12.65,,,,,,,1969-12-16 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,10,,,22.2,,,6.4,7.8,,,,186.8,,4500,170,,,,13.5,4.22,,,,5.72,27.41,,,,,0.02,0.03,,,,,,,17.61,,,,,,,,,35,,,,,85.15,,,,,,,,,,,,,,39.51,,,,,,,1969-12-16 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,93,,,22.6,,硫化水素臭,7.8,7.8,,,,141.8,,9000,-75,,,,12,2.42,,,,4.5,9.6,,,,,0.03,0.04,,,,,,,4.98,,,,,,,,,0,,,,,80.1,,,,,,,,,,,,,,0,,,,,,,1969-12-16 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,60,,,20.7,,,7.5,7.7,,,,172,,7000,10,,,,12,4.09,,,,5.01,14.99,,,,,0,0.01,,,,,,,8.29,,,,,,,,,4.3,,,,,91.5,,,,,,,,,,,,,,2.76,,,,,,,1969-12-16 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,13,,,18.2,,,6.6,7.8,,,,420,,1980,185,,,,35.8,9.6,,,,16.12,47.61,,,,,,0.02,,,,,,,48.6,,,,,,,,,110,,,,,101,,,,,,,,,,,,,,31.7,,,,,,,1969-12-16 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,100,,,20.5,,,7.8,7.8,,,,162,,7000,140,,,,11.2,3.44,,,,5.51,13.39,,,,,,0.01,,,,,,,6.17,,,,,,,,,4.4,,,,,89.55,,,,,,,,,,,,,,11.4,,,,,,,1969-12-16 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,22,,,18.9,,,6.9,7.8,,,,165.4,,7500,160,,,,10.8,4.8,,,,5.41,11.79,,,,,0,0.01,,,,,,,11.4,,,,,,,,,14.2,,,,,65,,,,,,,,,,,,,,0,,,,,,,1969-12-17 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,9,,,18.2,,,7,7.7,,,,270,,3000,160,,,,27.7,4.58,,,,11.02,28.98,,,,,0,0.02,,,,,,,46.98,,,,,,,,,44.2,,,,,66.9,,,,,,,,,,,,,,9.1,,,,,,,1969-12-17 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,12,,,18.5,,,6.9,7.8,,,,239,,4200,160,,,,27.3,5.46,,,,10.41,18.19,,,,,0,0.01,,,,,,,16.1,,,,,,,,,41,,,,,73.1,,,,,,,,,,,,,,11.62,,,,,,,1969-12-17 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,25,,,18.5,,,6.8,7.7,,,,193.6,,5100,210,,,,13.8,4.92,,,,7.66,15.9,,,,,0,0.01,,,,,,,14.44,,,,,,,,,25.2,,,,,61.5,,,,,,,,,,,,,,15.95,,,,,,,1969-12-17 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,40,,,20.2,,,7.3,7.8,,,,147.4,,7000,200,,,,11.1,4.02,,,,5.77,12.2,,,,,0,0.01,,,,,,,13.05,,,,,,,,,8.2,,,,,75.7,,,,,,,,,,,,,,6.32,,,,,,,1969-12-17 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,南高来郡国見町,,,,,,,,井戸,用水,63,,,20.1,,,7.8,7.8,,,,148.2,,8000,180,,,,11.2,3.15,,,,3.98,11.79,,,,,0,0.02,,,,,,,9.56,,,,,,,,,7.2,,,,,72.55,,,,,,,,,,,,,,,,,,,,,1969-12-17 00:00:00,"島原半島北部海岸地域の地下水,九大理学部島原火山温泉研研究報告,1970"
長崎県,大村市,129,59,20,32,53,50,,井戸,用水,40,,,20.2,,,7.01,8.28,,,,185.8,,6000,-78,,,,10,3.63,,,0,10.4,12,,,,,1.05,,,,,,,,9.7,,,,,,,,,3.6,,,,,99.9,,,,,,,,,,,,,0,16.6,,,,,,,1970-11-01 00:00:00,"諌早炭田北部の地下水,松下久道教授記念論文集,1971"
長崎県,大村市,130,0,20,32,52,50,,井戸,調査井,200,,,19.9,,,8.3,8.69,,,,194.2,,3500,99,,,,28,1.16,,,,8.4,28.1,,,,0.12,0,,,,,,,,12.1,,,,,,,,,17.5,,,,,149.9,7,,,,,,,,,,,,0,,,,,,,,1971-01-18 00:00:00,"諌早炭田北部の地下水,松下久道教授記念論文集,1971"
長崎県,大村市,129,59,40,32,53,10,,井戸,用水,53,,,18.4,,,8.6,8,,,,181.8,,4800,30,,,,11.9,3.13,,,,7.1,22.1,,,,0.59,4.31,,,,,,,,10.2,,,,,,,,,4,,,,,118.9,,,,,,,,,,,,,0,47.5,,,,,,,1971-04-06 00:00:00,"諌早炭田北部の地下水,松下久道教授記念論文集,1971"
長崎県,大村市,129,59,30,32,52,10,,井戸,調査井,200,,,21,,,8.6,8.3,,,,156,,4500,110,,,,17.2,1.25,,,,5.9,15.8,,,,0,0,,,,,,,,7.5,,,,,,,,,68.3,,,,,24.4,3.4,,,,,,,,,,,,0,,,,,,,,1971-04-06 00:00:00,"諌早炭田北部の地下水,松下久道教授記念論文集,1971"
